,Title,URL,Year,Citations,Versions,Cluster ID,PDF link,Citations list,Versions list,Citation link,Excerpt,Journal,Authors,Publisher
0,The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism,http://www.nature.com/mp/journal/v19/n6/abs/mp201378a.html,2014,354,22,9846320325644586589,,"http://scholar.google.com/scholar?cites=9846320325644586589&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9846320325644586589&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:XQ7BCisopYgJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOeVrHwQl5OaetcaDNpVL3ND3-RgG&scisf=4&ct=citation&cd=0&hl=en,"Abstract Autism spectrum disorders (ASDs) represent a formidable challenge for psychiatry and neuroscience because of their high prevalence, lifelong nature, complexity and substantial heterogeneity. Facing these obstacles requires large-scale multidisciplinary ",Molecular psychiatry,"Di Martino, Adriana & Yan, Chao-Gan & Li, Qingyang & Denio, Erin & Castellanos, Francisco X & Alaerts, Kaat & Anderson, Jeffrey S & Assaf, Michal & Bookheimer, Susan Y & Dapretto, Mirella & others",Nature Publishing Group
1,The NKI-Rockland sample: a model for accelerating the pace of discovery science in psychiatry,http://journal.frontiersin.org/article/10.3389/fnins.2012.00152/full,2012,148,22,2945667977901367941,,"http://scholar.google.com/scholar?cites=2945667977901367941&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2945667977901367941&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:heINSWsd4SgJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOew86st967nONbu1xC2_iKNuvPvQ&scisf=4&ct=citation&cd=1&hl=en,"The National Institute of Mental Health strategic plan for advancing psychiatric neuroscience calls for an acceleration of discovery and the delineation of developmental trajectories for risk and resilience across the lifespan. To attain these objectives, sufficiently powered ",Frontiers in neuroscience,"Nooner, Kate Brody & Colcombe, Stanley & Tobe, Russell & Mennes, Maarten & Benedict, Melissa & Moreno, Alexis & Panek, Laura & Brown, Shaquanna & Zavitz, Stephen & Li, Qingyang & others",Frontiers
2,The ADHD-200 consortium: a model to advance the translational potential of neuroimaging in clinical neuroscience,http://journal.frontiersin.org/article/10.3389/fnsys.2012.00062,2012,96,12,1100263753871100626,,"http://scholar.google.com/scholar?cites=1100263753871100626&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=1100263753871100626&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:0oq5AA7sRA8J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOTE0-DoJ8p3wgL3COY5Z4M40IIdN&scisf=4&ct=citation&cd=2&hl=en,"Neuropsychiatric imaging remains a pioneering frontier in modern medicine. Recent decades have witnessed marked advances in identifying biological correlates for a broad array of illnesses (Hillary et al., 2007; Ritsner, 2009; Linden and Thome, 2011; Shenton and ",Frontiers in systems neuroscience,"Milham, Michael P & Fair, Damien & Mennes, Maarten & Mostofsky, Stewart HMD & others",Frontiers
3,ADHD-200 Global Competition: diagnosing ADHD using personal characteristic data can outperform resting state fMRI measurements,http://journal.frontiersin.org/article/10.3389/fnsys.2012.00069/abstract,2012,41,16,12902544368047682729,,"http://scholar.google.com/scholar?cites=12902544368047682729&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12902544368047682729&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:qfQy_L0LD7MJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOQetUn66dhEBKqNev2btJ0V3Tbyh&scisf=4&ct=citation&cd=3&hl=en,"Neuroimaging-based diagnostics could potentially assist clinicians to make more accurate diagnoses resulting in faster, more effective treatment. We participated in the 2011 ADHD-200 Global Competition which involved analyzing a large dataset of 973 participants ",Frontiers in systems neuroscience,"Brown, Matthew RG & Sidhu, Gagan S & Greiner, Russell & Asgarian, Nasimeh & Bastani, Meysam & Silverstone, Peter H & Greenshaw, Andrew J & Dursun, Serdar M",Frontiers
4,"The NKI-Rockland sample: a model for accelerating the pace of discovery science in psychiatry. Front. Neurosci. 6, 152",,2012,9,0,10542763282780628252,,"http://scholar.google.com/scholar?cites=10542763282780628252&as_sdt=2005&sciodt=0,5&hl=en",,http://scholar.googleusercontent.com/scholar.bib?q=info:HKUrBVlrT5IJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOarch0RwKpp0mB8RBxAUR0n6ICAw&scisf=4&ct=citation&cd=4&hl=en,,,"Nooner, KB & Colcombe, SJ & Tobe, RH & Mennes, M & Benedict, MM & Moreno, AL & Panek, LJ & Brown, S & Zavitz, ST & Li, Q & others",
5,Association between functional connectivity hubs and brain networks,http://cercor.oxfordjournals.org/content/21/9/2003.short,2011,171,15,430396181786781088,,"http://scholar.google.com/scholar?cites=430396181786781088&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=430396181786781088&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:oOUVCAwT-QUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOTvl7ylag2RBs_h1pId_uWR7e4kb&scisf=4&ct=citation&cd=5&hl=en,... different topological architecture. We aimed to test this hypothesis in a large sampleof brain images of healthy subjects from the open access image database “1000Functional Connectomes Project” (Biswal et al. 2010). We used ...,Cerebral cortex,"Tomasi, Dardo & Volkow, Nora D",Oxford Univ Press
6,Large-scale brain systems in ADHD: beyond the prefrontal–striatal model,http://www.sciencedirect.com/science/article/pii/S1364661311002403,2012,305,20,17555220410364244961,,"http://scholar.google.com/scholar?cites=17555220410364244961&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17555220410364244961&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:4bNyofOroPMJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOZqCdIfNzVnNExDV74eDWD71XWwf&scisf=4&ct=citation&cd=6&hl=en,"... This has advanced the goal of open sharing of primary data and analytical methods such as the1000 Functional Connectomes Project (http://fcon_1000.projects.nitrc.org/), the ADHD-200 Sample(http://fcon_1000.projects.nitrc.org/indi/adhd200/) and the Human Connectome ...",Trends in cognitive sciences,"Castellanos, F Xavier & Proal, Erika",Elsevier
7,Functional connectivity of substantia nigra and ventral tegmental area: maturation during adolescence and effects of ADHD,http://cercor.oxfordjournals.org/content/early/2012/12/12/cercor.bhs382.short,2012,46,10,12457987338135540258,,"http://scholar.google.com/scholar?cites=12457987338135540258&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12457987338135540258&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:IhLikXqp46wJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOQXH-k3LBYbNd8gYsk40QeFVzb95&scisf=4&ct=citation&cd=7&hl=en,... and 393 females; age = 23 ± 5; mean ± SD) from 15 research sites of the 1000 functionalconnectomes project (FCP) (http ... 197 males and 50 females; age = 12 ± 3) from 6 research sitesof the “ADHD-200” database (http://fcon_1000.projects.nitrc.org/indi/adhd200 ...,Cerebral Cortex,"Tomasi, Dardo & Volkow, Nora D",Oxford Univ Press
8,Mapping small-world properties through development in the human brain: disruption in schizophrenia,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0096176,2014,22,17,3322011660672285557,,"http://scholar.google.com/scholar?cites=3322011660672285557&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=3322011660672285557&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:dbsTLgEoGi4J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOXeSxJnPMGVpKVwHvtRoNM6zvISY&scisf=4&ct=citation&cd=8&hl=en,... Data-sharing Initiative (http://fcon_1000.projects.nitrc.org/). The authors did not have any rolein the collection of the data nor had access to any identifying information from the participants.The test-retest study included 40 children from the WashU research site of the ADHD-200 ...,PloS one,"Tomasi, Dardo & Volkow, Nora D",Public Library of Science
9,ADHD-200 classification based on social network method,http://link.springer.com/chapter/10.1007/978-3-319-09330-7_28,2014,2,3,11565321117232777294,,"http://scholar.google.com/scholar?cites=11565321117232777294&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11565321117232777294&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:Tsj7yUdGgKAJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYOb3ifJuzZ9DQLkdmuxpu8mVzNV-9&scisf=4&ct=citation&cd=9&hl=en,"Abstract Attention Deficit Hyperactivity Disorder (ADHD) is one of the most common diseases in school aged children. In this study, we proposed a method based on social network to extract the features of the ADHD-200 resting state fMRI data between ADHD ",,"Guo, Xiaojiao & An, Xiu & Kuang, Deping & Zhao, Yilu & He, Lianghua",
